challenge,winner,winner_family,winner_acc,runner_up,runner_up_acc,margin,ci_lo,ci_hi,significant,acc_passthrough,acc_gamma,acc_clahe,acc_stretch,acc_dcp,acc_adair,acc_cidnet
Decolorization,cidnet,learned,72.04,dcp,68.51,3.54,2.66,4.41,1,65.81,68.05,48.15,65.92,68.51,65.46,72.04
LensBlur,clahe,training-free,48.95,dcp,45.53,3.42,2.19,4.59,1,37.71,32.49,48.95,39.05,45.53,42.17,36.66
CodecError,gamma,training-free,53.45,passthrough,52.37,1.08,0.25,1.89,1,52.37,53.45,33.4,47.4,51.05,51.89,51.98
Darkening,gamma,training-free,76.08,cidnet,75.28,0.8,-0.01,1.61,0,62.63,76.08,54.53,27.07,63.58,71.85,75.28
DirtyLens,adair,learned,78.09,stretch,77.81,0.28,-0.3,0.86,0,76.64,70.75,61.39,77.81,76.79,78.09,76.92
Exposure,passthrough,training-free,54.35,adair,54.22,0.13,-0.21,0.49,0,54.35,48.52,50.4,48.99,53.14,54.22,54.13
GaussianBlur,clahe,training-free,41.27,dcp,36.69,4.59,3.4,5.75,1,28.43,26.7,41.27,30.13,36.69,31.72,29.23
Noise,adair,learned,54.51,passthrough,53.62,0.89,0.46,1.35,1,53.62,52.86,29.94,50.99,52.17,54.51,53.48
Rain,dcp,training-free,45.72,adair,36.97,8.76,7.66,9.88,1,35.31,26.12,19.69,35.01,45.72,36.97,33.03
Shadow,cidnet,learned,76.58,dcp,76.3,0.28,-0.53,1.07,0,75.81,75.36,62.4,67.16,76.3,76.18,76.58
Snow,cidnet,learned,68.39,dcp,65.09,3.3,2.44,4.17,1,64.81,64.33,52.07,62.35,65.09,64.41,68.39
Haze,dcp,training-free,72.16,adair,65.93,6.23,5.24,7.22,1,46.41,36.12,54.69,53.03,72.16,65.93,48.05
