clean_fraction,mix_passthrough,mix_va_rule,mix_vb,mix_dcp,mix_adair,mix_cidnet,vb_minus_dcp,vb_minus_adair
0.0,54.49,56.65,58.21,58.89,57.78,56.31,-0.68,0.43
0.1,57.12,59.06,60.47,60.94,59.96,58.69,-0.47,0.51
0.2,59.75,61.47,62.72,62.99,62.13,61.07,-0.26,0.59
0.3,62.38,63.88,64.98,65.04,64.3,63.45,-0.06,0.68
0.4,65.0,66.3,67.24,67.08,66.47,65.83,0.15,0.76
0.5,67.63,68.71,69.49,69.13,68.65,68.21,0.36,0.84
0.6,70.26,71.12,71.75,71.18,70.82,70.59,0.57,0.93
0.7,72.89,73.53,74.0,73.22,72.99,72.97,0.78,1.01
0.8,75.51,75.94,76.26,75.27,75.17,75.35,0.99,1.09
0.9,78.14,78.36,78.51,77.32,77.34,77.72,1.2,1.17
1.0,80.77,80.77,80.77,79.36,79.51,80.1,1.41,1.26
