testset,method,n_samples,accuracy,macro_f1,min_class_accuracy
clean,baseline,12630,93.9192,90.3231,50.0000
clean,fixed_clahe,12630,79.7783,76.6740,34.6667
clean,fixed_gamma,12630,87.9256,81.0527,8.8889
clean,fixed_stretch,12630,74.7506,73.9713,4.0000
clean,va_adaptive,12630,91.6706,86.7956,50.0000
lowlight,baseline,12630,54.1172,57.0973,5.0000
lowlight,fixed_clahe,12630,60.6176,56.5166,8.0000
lowlight,fixed_gamma,12630,80.3880,79.1361,8.6667
lowlight,fixed_stretch,12630,25.3523,31.5219,0.0000
lowlight,va_adaptive,12630,75.2415,73.6914,8.0000
foggy,baseline,12630,67.2684,60.6185,1.1111
foggy,fixed_clahe,12630,68.8440,63.6920,6.6667
foggy,fixed_gamma,12630,40.9184,27.2891,0.0000
foggy,fixed_stretch,12630,76.7142,70.0700,0.0000
foggy,va_adaptive,12630,73.0245,67.0781,9.3333
lowcontrast,baseline,12630,66.4925,59.5968,5.3333
lowcontrast,fixed_clahe,12630,71.1164,63.4807,4.4444
lowcontrast,fixed_gamma,12630,43.2779,25.2235,0.0000
lowcontrast,fixed_stretch,12630,68.0364,69.0378,0.0000
lowcontrast,va_adaptive,12630,65.0990,58.6673,1.3333
noisy,baseline,12630,68.6778,67.6342,15.3333
noisy,fixed_clahe,12630,41.7815,42.8458,0.0000
noisy,fixed_gamma,12630,62.1694,60.9986,3.3333
noisy,fixed_stretch,12630,60.7443,61.2394,5.3333
noisy,va_adaptive,12630,67.3555,66.7898,6.0000
mixed,baseline,12630,58.7094,55.6116,4.0000
mixed,fixed_clahe,12630,51.3460,49.1574,3.3333
mixed,fixed_gamma,12630,49.1686,44.5812,6.0000
mixed,fixed_stretch,12630,56.4054,56.2529,2.0000
mixed,va_adaptive,12630,63.4759,59.9974,7.3333
