testset,method,cls_00,cls_01,cls_02,cls_03,cls_04,cls_05,cls_06,cls_07,cls_08,cls_09,cls_10,cls_11,cls_12,cls_13,cls_14,cls_15,cls_16,cls_17,cls_18,cls_19,cls_20,cls_21,cls_22,cls_23,cls_24,cls_25,cls_26,cls_27,cls_28,cls_29,cls_30,cls_31,cls_32,cls_33,cls_34,cls_35,cls_36,cls_37,cls_38,cls_39,cls_40,cls_41,cls_42
clean,baseline,81.67,97.08,96.27,92.89,93.33,90.48,90.67,94.67,92.22,99.58,99.24,96.90,94.64,99.72,100.00,98.57,99.33,89.44,81.79,75.00,98.89,66.67,86.67,99.33,98.89,96.04,98.89,50.00,98.67,98.89,64.00,90.37,100.00,99.52,100.00,96.67,98.33,98.33,95.65,58.89,92.22,61.67,83.33
clean,fixed_clahe,98.33,82.36,98.93,70.00,69.55,60.00,74.67,74.44,68.67,82.08,62.12,94.52,91.45,84.58,92.59,47.62,96.67,85.56,83.33,66.67,75.56,76.67,79.17,100.00,98.89,92.71,81.11,35.00,91.33,55.56,34.67,85.56,56.67,97.14,85.00,85.90,96.67,93.33,71.88,73.33,100.00,66.67,81.11
clean,fixed_gamma,50.00,96.81,96.00,70.44,89.70,79.84,58.00,92.44,78.22,98.12,94.70,92.86,91.88,97.64,88.89,88.10,100.00,83.06,82.82,50.00,86.67,51.11,82.50,80.00,98.89,97.08,87.78,48.33,98.67,64.44,44.67,88.89,100.00,96.67,100.00,97.69,85.83,80.00,92.75,56.67,93.33,75.00,8.89
clean,fixed_stretch,58.33,90.14,77.87,68.89,56.82,74.44,32.00,71.56,54.22,81.46,58.18,87.14,80.87,98.61,79.63,98.57,77.33,82.50,59.74,100.00,98.89,66.67,81.67,69.33,57.78,85.21,98.89,48.33,85.33,90.00,4.00,55.19,90.00,98.57,100.00,52.56,90.00,80.00,78.55,45.56,88.89,46.67,57.78
clean,va_adaptive,81.67,95.56,97.60,86.89,93.03,87.14,61.33,92.00,86.67,99.17,95.45,94.52,92.17,97.22,100.00,98.57,99.33,89.72,84.87,50.00,98.89,66.67,86.67,82.00,98.89,96.04,96.67,50.00,98.67,98.89,52.00,86.30,100.00,99.52,100.00,96.92,98.33,98.33,92.75,76.67,92.22,61.67,65.56
lowlight,baseline,28.33,65.56,47.73,40.67,33.18,67.46,19.33,48.89,38.22,41.04,22.42,76.43,64.35,81.53,34.44,81.43,60.00,77.22,32.31,100.00,88.89,64.44,56.67,55.33,7.78,80.83,86.11,38.33,62.00,53.33,7.33,23.70,20.00,98.10,93.33,33.85,85.83,5.00,62.61,66.67,40.00,35.00,33.33
lowlight,fixed_clahe,70.00,69.72,75.87,55.11,41.67,60.32,42.00,64.00,52.67,43.33,41.82,80.71,76.09,90.28,33.33,47.14,60.00,79.72,56.15,60.00,94.44,63.33,53.33,58.00,34.44,78.33,86.67,25.00,64.00,57.78,8.00,42.96,13.33,80.48,40.00,33.85,77.50,20.00,65.80,66.67,46.67,8.33,70.00
lowlight,fixed_gamma,58.33,91.53,83.87,74.44,64.55,83.33,50.67,72.00,64.44,83.54,78.48,89.29,84.06,99.17,87.04,99.05,79.33,88.06,57.69,100.00,96.67,66.67,83.33,76.00,81.11,93.96,98.89,50.00,88.67,98.89,8.67,61.48,66.67,99.52,100.00,54.36,100.00,98.33,88.12,62.22,91.11,68.33,67.78
lowlight,fixed_stretch,23.33,34.44,28.80,11.11,7.58,18.41,2.00,12.22,10.89,15.42,4.09,29.52,35.22,44.17,11.11,45.24,36.00,44.17,11.03,100.00,46.67,50.00,41.67,28.00,0.00,47.50,35.56,0.00,34.00,33.33,4.67,0.00,3.33,45.24,63.33,25.90,40.83,0.00,29.42,66.67,0.00,0.00,32.22
lowlight,va_adaptive,53.33,85.00,80.67,67.33,54.55,81.43,50.67,69.56,64.00,77.71,73.64,81.90,80.14,98.33,54.44,93.81,79.33,81.39,51.79,100.00,93.33,66.67,82.50,74.67,64.44,86.25,97.78,50.00,73.33,95.56,8.00,61.11,41.67,98.10,98.33,50.51,96.67,98.33,85.07,66.67,56.67,55.00,67.78
