=== Routing-branch proportions (%) ===
testset,gamma,clahe,stretch,passthrough,n_images
clean,14.01,3.44,0.49,82.06,12630
lowlight,65.19,0.00,0.63,34.18,12630
foggy,0.00,29.62,8.19,62.19,12630
lowcontrast,13.87,42.38,4.70,39.04,12630
noisy,12.28,0.00,0.00,87.72,12630
mixed,20.13,19.03,2.42,58.42,12630

=== Raw counts ===
testset,gamma,clahe,stretch,passthrough,n_images
clean,1769,435,62,10364,12630
lowlight,8233,0,80,4317,12630
foggy,0,3741,1035,7854,12630
lowcontrast,1752,5353,594,4931,12630
noisy,1551,0,0,11079,12630
mixed,2542,2404,306,7378,12630
