filename,occ,ch,sev,sigma,true,pred_passthrough,pred_gamma,pred_clahe,pred_stretch,pred_dcp,pred_adair
01_03_02_03_0001.bmp,0,2,3,0,9,31,31,1,31,15,-1
01_03_02_03_0002.bmp,0,2,3,0,9,31,31,16,31,12,-1
01_03_02_03_0003.bmp,0,2,3,0,9,31,31,16,31,36,-1
01_03_02_03_0011.bmp,0,2,3,0,9,31,31,32,31,15,-1
01_03_02_03_0012.bmp,0,2,3,0,9,31,31,16,31,13,-1
01_03_02_03_0015.bmp,0,2,3,0,9,31,31,13,31,13,-1
01_03_02_03_0018.bmp,0,2,3,0,9,31,31,18,31,15,-1
01_03_02_03_0021.bmp,0,2,3,0,9,31,31,13,12,15,-1
01_03_02_03_0022.bmp,0,2,3,0,9,31,31,16,12,13,-1
01_03_02_03_0024.bmp,0,2,3,0,9,12,31,16,12,17,-1
01_03_02_03_0026.bmp,0,2,3,0,9,12,31,16,12,17,-1
01_03_02_03_0029.bmp,0,2,3,0,9,12,31,41,13,15,-1
01_03_02_03_0030.bmp,0,2,3,0,9,12,31,13,13,15,-1
01_03_02_03_0031.bmp,0,2,3,0,9,13,31,41,13,17,-1
01_03_02_03_0037.bmp,0,2,3,0,9,13,31,41,15,15,-1
01_03_02_03_0039.bmp,0,2,3,0,9,13,15,41,15,15,-1
01_03_02_03_0044.bmp,0,2,3,0,9,13,15,41,8,15,-1
01_03_02_03_0046.bmp,0,2,3,0,9,13,13,16,15,15,-1
01_03_02_03_0048.bmp,0,2,3,0,9,32,15,41,32,15,-1
01_03_02_03_0049.bmp,0,2,3,0,9,32,13,13,32,13,-1
01_03_02_03_0052.bmp,0,2,3,0,9,13,13,13,15,15,-1
01_03_02_03_0054.bmp,0,2,3,0,9,15,15,16,15,15,-1
01_03_02_03_0058.bmp,0,2,3,0,9,15,15,41,15,15,-1
01_03_02_03_0061.bmp,0,2,3,0,9,15,15,15,15,15,-1
01_03_02_03_0062.bmp,0,2,3,0,9,15,15,16,15,15,-1
01_03_02_03_0067.bmp,0,2,3,0,9,15,15,15,15,15,-1
01_03_02_03_0070.bmp,0,2,3,0,9,15,15,15,15,15,-1
01_03_02_03_0078.bmp,0,2,3,0,9,15,15,15,15,15,-1
01_03_02_03_0079.bmp,0,2,3,0,9,15,15,15,15,15,-1
01_03_02_03_0081.bmp,0,2,3,0,9,15,15,15,15,15,-1
01_03_02_03_0083.bmp,0,2,3,0,9,15,15,15,15,15,-1
01_03_02_03_0084.bmp,0,2,3,0,9,15,15,15,15,15,-1
01_06_02_03_0001.bmp,1,2,3,0,14,36,36,9,13,14,-1
01_06_02_03_0002.bmp,0,2,3,0,14,17,36,13,17,1,-1
01_06_02_03_0002.bmp,1,2,3,0,14,36,36,13,13,6,-1
01_06_02_03_0004.bmp,0,2,3,0,14,17,36,25,14,14,-1
01_06_02_03_0005.bmp,1,2,3,0,14,36,36,13,12,29,-1
01_06_02_03_0007.bmp,0,2,3,0,14,15,25,14,14,14,-1
01_06_02_03_0007.bmp,1,2,3,0,14,36,36,18,14,14,-1
01_06_02_03_0008.bmp,1,2,3,0,14,36,36,25,0,14,-1
01_06_02_03_0010.bmp,0,2,3,0,14,17,13,14,14,14,-1
01_06_02_03_0013.bmp,1,2,3,0,14,0,36,0,0,14,-1
01_06_02_03_0014.bmp,0,2,3,0,14,14,13,14,14,14,-1
01_06_02_03_0016.bmp,1,2,3,0,14,0,36,0,0,14,-1
01_06_02_03_0020.bmp,0,2,3,0,14,14,13,14,14,14,-1
01_06_02_03_0021.bmp,0,2,3,0,14,14,13,14,14,14,-1
01_06_02_03_0022.bmp,0,2,3,0,14,14,13,14,14,14,-1
01_06_02_03_0022.bmp,1,2,3,0,14,36,0,17,17,15,-1
01_06_02_03_0023.bmp,0,2,3,0,14,14,13,14,14,14,-1
01_06_02_03_0023.bmp,1,2,3,0,14,15,12,18,17,13,-1
01_06_02_03_0024.bmp,0,2,3,0,14,14,13,14,14,14,-1
01_06_02_03_0024.bmp,1,2,3,0,14,15,36,25,15,13,-1
01_06_02_03_0025.bmp,0,2,3,0,14,14,13,14,14,14,-1
01_06_02_03_0025.bmp,1,2,3,0,14,36,36,1,15,13,-1
01_06_02_03_0026.bmp,0,2,3,0,14,14,13,14,14,14,-1
01_06_02_03_0026.bmp,1,2,3,0,14,15,36,19,15,13,-1
01_06_02_03_0027.bmp,1,2,3,0,14,15,36,13,15,13,-1
01_06_02_03_0028.bmp,1,2,3,0,14,15,36,18,15,15,-1
01_06_02_03_0029.bmp,1,2,3,0,14,15,36,12,15,15,-1
01_06_02_03_0030.bmp,0,2,3,0,14,14,17,14,14,14,-1
01_06_02_03_0031.bmp,1,2,3,0,14,12,31,12,12,13,-1
