filename,occ,ch,sev,sigma,true,pred_passthrough,pred_gamma,pred_clahe,pred_stretch,pred_dcp,pred_adair
01_03_12_03_0001.bmp,0,12,3,0,9,13,31,41,13,13,15
01_03_12_03_0002.bmp,0,12,3,0,9,13,31,1,13,13,15
01_03_12_03_0003.bmp,0,12,3,0,9,13,31,16,13,13,15
01_03_12_03_0011.bmp,0,12,3,0,9,13,16,16,13,16,41
01_03_12_03_0012.bmp,0,12,3,0,9,16,16,16,16,13,15
01_03_12_03_0015.bmp,0,12,3,0,9,13,13,41,13,15,15
01_03_12_03_0018.bmp,0,12,3,0,9,13,13,16,13,9,15
01_03_12_03_0021.bmp,0,12,3,0,9,13,13,41,13,13,15
01_03_12_03_0022.bmp,0,12,3,0,9,13,13,41,13,16,15
01_03_12_03_0024.bmp,0,12,3,0,9,13,13,41,13,13,15
01_03_12_03_0026.bmp,0,12,3,0,9,13,13,41,13,13,15
01_03_12_03_0029.bmp,0,12,3,0,9,13,13,41,13,13,15
01_03_12_03_0030.bmp,0,12,3,0,9,13,13,13,13,13,15
01_03_12_03_0031.bmp,0,12,3,0,9,13,13,16,13,13,15
01_03_12_03_0037.bmp,0,12,3,0,9,13,16,2,13,9,15
01_03_12_03_0039.bmp,0,12,3,0,9,13,16,41,13,13,15
01_03_12_03_0044.bmp,0,12,3,0,9,13,13,16,13,13,15
01_03_12_03_0046.bmp,0,12,3,0,9,13,13,16,13,16,15
01_03_12_03_0048.bmp,0,12,3,0,9,13,13,16,13,15,15
01_03_12_03_0049.bmp,0,12,3,0,9,13,13,13,13,40,15
01_03_12_03_0052.bmp,0,12,3,0,9,13,13,9,13,13,15
01_03_12_03_0054.bmp,0,12,3,0,9,13,13,13,13,15,15
01_03_12_03_0058.bmp,0,12,3,0,9,13,13,13,13,9,15
01_03_12_03_0061.bmp,0,12,3,0,9,13,13,9,13,9,15
01_03_12_03_0062.bmp,0,12,3,0,9,13,13,13,13,9,15
01_03_12_03_0067.bmp,0,12,3,0,9,13,13,9,13,9,15
01_03_12_03_0070.bmp,0,12,3,0,9,13,13,13,13,15,15
01_03_12_03_0078.bmp,0,12,3,0,9,13,13,13,13,9,15
01_03_12_03_0079.bmp,0,12,3,0,9,13,13,9,9,9,15
01_03_12_03_0081.bmp,0,12,3,0,9,13,13,9,13,9,41
01_03_12_03_0083.bmp,0,12,3,0,9,13,13,13,9,9,15
01_03_12_03_0084.bmp,0,12,3,0,9,13,13,13,9,9,15
01_06_12_03_0001.bmp,1,12,3,0,14,36,32,25,25,14,14
01_06_12_03_0002.bmp,0,12,3,0,14,25,13,25,13,25,14
01_06_12_03_0002.bmp,1,12,3,0,14,36,36,42,36,14,14
01_06_12_03_0004.bmp,0,12,3,0,14,25,32,25,25,14,14
01_06_12_03_0005.bmp,1,12,3,0,14,36,36,13,36,13,14
01_06_12_03_0007.bmp,0,12,3,0,14,25,25,25,25,14,14
01_06_12_03_0007.bmp,1,12,3,0,14,25,36,25,25,14,14
01_06_12_03_0008.bmp,1,12,3,0,14,36,32,1,36,14,14
01_06_12_03_0010.bmp,0,12,3,0,14,25,25,25,25,14,14
01_06_12_03_0013.bmp,1,12,3,0,14,36,32,25,25,14,14
01_06_12_03_0014.bmp,0,12,3,0,14,25,25,2,25,14,14
01_06_12_03_0016.bmp,1,12,3,0,14,25,11,25,25,14,14
01_06_12_03_0020.bmp,0,12,3,0,14,25,25,25,25,14,14
01_06_12_03_0021.bmp,0,12,3,0,14,25,25,2,25,14,14
01_06_12_03_0022.bmp,0,12,3,0,14,25,25,2,25,14,14
01_06_12_03_0022.bmp,1,12,3,0,14,25,11,25,25,14,14
01_06_12_03_0023.bmp,0,12,3,0,14,25,25,25,25,14,14
01_06_12_03_0023.bmp,1,12,3,0,14,13,32,13,13,14,14
01_06_12_03_0024.bmp,0,12,3,0,14,25,25,2,25,14,14
01_06_12_03_0024.bmp,1,12,3,0,14,25,11,11,25,14,14
01_06_12_03_0025.bmp,0,12,3,0,14,25,25,2,25,14,14
01_06_12_03_0025.bmp,1,12,3,0,14,25,32,25,25,14,14
01_06_12_03_0026.bmp,0,12,3,0,14,25,25,2,25,14,14
01_06_12_03_0026.bmp,1,12,3,0,14,25,11,13,25,14,14
01_06_12_03_0027.bmp,1,12,3,0,14,25,11,11,25,13,14
01_06_12_03_0028.bmp,1,12,3,0,14,25,13,25,25,14,14
01_06_12_03_0029.bmp,1,12,3,0,14,25,32,18,25,14,14
01_06_12_03_0030.bmp,0,12,3,0,14,25,25,2,25,14,14
01_06_12_03_0031.bmp,1,12,3,0,14,12,36,0,12,13,3
01_06_12_03_0032.bmp,0,12,3,0,14,25,25,2,25,14,14
01_06_12_03_0032.bmp,1,12,3,0,14,31,36,42,36,13,13
01_06_12_03_0033.bmp,1,12,3,0,14,31,31,16,31,13,13
01_06_12_03_0034.bmp,0,12,3,0,14,25,25,4,25,14,14
01_06_12_03_0034.bmp,1,12,3,0,14,36,36,42,36,13,15
01_06_12_03_0036.bmp,1,12,3,0,14,31,31,2,31,7,14
01_06_12_03_0037.bmp,0,12,3,0,14,25,25,5,25,14,14
01_06_12_03_0037.bmp,1,12,3,0,14,31,36,6,36,17,8
