filename,occ,ch,sev,sigma,true,b,c,e,branch,pred_va,pred_vb,pred_dcp,pred_adair,pred_clahe,pred_passthrough
01_03_12_03_0001.bmp,0,12,3,0,9,0.53862,0.08588,0.1697,clahe,41,13,13,15,41,13
01_03_12_03_0002.bmp,0,12,3,0,9,0.54111,0.0836,0.15758,clahe,1,13,13,15,1,13
01_03_12_03_0003.bmp,0,12,3,0,9,0.54373,0.08293,0.17273,clahe,16,13,13,15,16,13
01_03_12_03_0011.bmp,0,12,3,0,9,0.53801,0.09523,0.1575,clahe,16,16,16,41,16,13
01_03_12_03_0012.bmp,0,12,3,0,9,0.53891,0.09467,0.155,clahe,16,13,13,15,16,16
01_03_12_03_0015.bmp,0,12,3,0,9,0.53485,0.09562,0.1358,clahe,41,15,15,15,41,13
01_03_12_03_0018.bmp,0,12,3,0,9,0.53454,0.0995,0.14916,clahe,16,9,9,15,16,13
01_03_12_03_0021.bmp,0,12,3,0,9,0.53097,0.10235,0.13722,clahe,41,13,13,15,41,13
01_03_12_03_0022.bmp,0,12,3,0,9,0.5312,0.09673,0.14156,clahe,41,16,16,15,41,13
01_03_12_03_0024.bmp,0,12,3,0,9,0.52517,0.10048,0.1386,clahe,41,13,13,15,41,13
01_03_12_03_0026.bmp,0,12,3,0,9,0.5226,0.09474,0.12798,clahe,41,13,13,15,41,13
01_03_12_03_0029.bmp,0,12,3,0,9,0.51955,0.09263,0.11846,clahe,41,13,13,15,41,13
01_03_12_03_0030.bmp,0,12,3,0,9,0.51623,0.09054,0.11726,clahe,13,13,13,15,13,13
01_03_12_03_0031.bmp,0,12,3,0,9,0.51364,0.09113,0.11232,clahe,16,13,13,15,16,13
01_03_12_03_0037.bmp,0,12,3,0,9,0.50031,0.0818,0.04821,clahe,2,9,9,15,2,13
01_03_12_03_0039.bmp,0,12,3,0,9,0.49931,0.08125,0.04832,clahe,41,13,13,15,41,13
01_03_12_03_0044.bmp,0,12,3,0,9,0.50721,0.09304,0.05037,clahe,16,13,13,15,16,13
01_03_12_03_0046.bmp,0,12,3,0,9,0.50746,0.09355,0.0475,clahe,16,16,16,15,16,13
01_03_12_03_0048.bmp,0,12,3,0,9,0.51293,0.10695,0.11644,passthrough,13,13,15,15,16,13
01_03_12_03_0049.bmp,0,12,3,0,9,0.50885,0.10057,0.10895,clahe,13,40,40,15,13,13
01_03_12_03_0052.bmp,0,12,3,0,9,0.50452,0.09757,0.04054,clahe,9,13,13,15,9,13
01_03_12_03_0054.bmp,0,12,3,0,9,0.50187,0.10014,0.10581,clahe,13,15,15,15,13,13
01_03_12_03_0058.bmp,0,12,3,0,9,0.50898,0.0911,0.04783,clahe,13,9,9,15,13,13
01_03_12_03_0061.bmp,0,12,3,0,9,0.50526,0.08585,0.00347,clahe,9,9,9,15,9,13
01_03_12_03_0062.bmp,0,12,3,0,9,0.50653,0.08477,0.03474,clahe,13,9,9,15,13,13
01_03_12_03_0067.bmp,0,12,3,0,9,0.51059,0.08691,0.0,clahe,9,9,9,15,9,13
