filename,occ,ch,sev,sigma,true,sigma_hat,sigma_added,c_raw,c_rob,br_pub,br_c1,br_c2,pred_VA,pred_VB,pred_C1_clahe,pred_C1_dcp,pred_C2_clahe,pred_C2_dcp,pred_dcp,pred_adair,pred_passthrough
01_03_12_03_0001.bmp,0,12,3,0,9,1.729,0.0,0.08588,0.08588,clahe,clahe,clahe,41,13,41,13,41,13,13,15,13
01_03_12_03_0002.bmp,0,12,3,0,9,1.69,0.0,0.0836,0.0836,clahe,clahe,clahe,1,13,1,13,1,13,13,15,13
01_03_12_03_0003.bmp,0,12,3,0,9,1.525,0.0,0.08293,0.08293,clahe,clahe,clahe,16,13,16,13,16,13,13,15,13
01_03_12_03_0011.bmp,0,12,3,0,9,1.794,0.0,0.09523,0.09523,clahe,clahe,clahe,16,16,16,16,16,16,16,41,13
01_03_12_03_0012.bmp,0,12,3,0,9,1.684,0.0,0.09467,0.09467,clahe,clahe,clahe,16,13,16,13,16,13,13,15,16
01_03_12_03_0015.bmp,0,12,3,0,9,1.763,0.0,0.09562,0.09562,clahe,clahe,clahe,41,15,41,15,41,15,15,15,13
01_03_12_03_0018.bmp,0,12,3,0,9,1.882,0.0,0.0995,0.0995,clahe,clahe,clahe,16,9,16,9,16,9,9,15,13
01_03_12_03_0021.bmp,0,12,3,0,9,1.492,0.0,0.10235,0.10235,clahe,clahe,clahe,41,13,41,13,41,13,13,15,13
01_03_12_03_0022.bmp,0,12,3,0,9,1.428,0.0,0.09673,0.09673,clahe,clahe,clahe,41,16,41,16,41,16,16,15,13
01_03_12_03_0024.bmp,0,12,3,0,9,1.634,0.0,0.10048,0.10048,clahe,clahe,clahe,41,13,41,13,41,13,13,15,13
01_03_12_03_0026.bmp,0,12,3,0,9,1.573,0.0,0.09474,0.09474,clahe,clahe,clahe,41,13,41,13,41,13,13,15,13
01_03_12_03_0029.bmp,0,12,3,0,9,1.393,0.0,0.09263,0.09263,clahe,clahe,clahe,41,13,41,13,41,13,13,15,13
01_03_12_03_0030.bmp,0,12,3,0,9,1.258,0.0,0.09054,0.09054,clahe,clahe,clahe,13,13,13,13,13,13,13,15,13
01_03_12_03_0031.bmp,0,12,3,0,9,1.206,0.0,0.09113,0.09113,clahe,clahe,clahe,16,13,16,13,16,13,13,15,13
01_03_12_03_0037.bmp,0,12,3,0,9,1.128,0.0,0.0818,0.0818,clahe,clahe,clahe,2,9,2,9,2,9,9,15,13
01_03_12_03_0039.bmp,0,12,3,0,9,1.052,0.0,0.08125,0.08125,clahe,clahe,clahe,41,13,41,13,41,13,13,15,13
01_03_12_03_0044.bmp,0,12,3,0,9,1.076,0.0,0.09304,0.09304,clahe,clahe,clahe,16,13,16,13,16,13,13,15,13
01_03_12_03_0046.bmp,0,12,3,0,9,0.99,0.0,0.09355,0.09355,clahe,clahe,clahe,16,16,16,16,16,16,16,15,13
01_03_12_03_0048.bmp,0,12,3,0,9,0.945,0.0,0.10695,0.10695,passthrough,passthrough,clahe,13,13,13,13,16,15,15,15,13
01_03_12_03_0049.bmp,0,12,3,0,9,0.981,0.0,0.10057,0.10057,clahe,clahe,clahe,13,40,13,40,13,40,40,15,13
01_03_12_03_0052.bmp,0,12,3,0,9,0.895,0.0,0.09757,0.09757,clahe,clahe,clahe,9,13,9,13,9,13,13,15,13
01_03_12_03_0054.bmp,0,12,3,0,9,0.83,0.0,0.10014,0.10014,clahe,clahe,clahe,13,15,13,15,13,15,15,15,13
01_03_12_03_0058.bmp,0,12,3,0,9,0.606,0.0,0.0911,0.0911,clahe,clahe,clahe,13,9,13,9,13,9,9,15,13
01_03_12_03_0061.bmp,0,12,3,0,9,0.65,0.0,0.08585,0.08585,clahe,clahe,clahe,9,9,9,9,9,9,9,15,13
01_03_12_03_0062.bmp,0,12,3,0,9,0.559,0.0,0.08477,0.08477,clahe,clahe,clahe,13,9,13,9,13,9,9,15,13
01_03_12_03_0067.bmp,0,12,3,0,9,0.798,0.0,0.08691,0.08691,clahe,clahe,clahe,9,9,9,9,9,9,9,15,13
01_03_12_03_0070.bmp,0,12,3,0,9,0.803,0.0,0.09108,0.09108,clahe,clahe,clahe,13,15,13,15,13,15,15,15,13
01_03_12_03_0078.bmp,0,12,3,0,9,0.657,0.0,0.09733,0.09733,clahe,clahe,clahe,13,9,13,9,13,9,9,15,13
01_03_12_03_0079.bmp,0,12,3,0,9,0.689,0.0,0.09545,0.09545,clahe,clahe,clahe,9,9,9,9,9,9,9,15,13
01_03_12_03_0081.bmp,0,12,3,0,9,0.676,0.0,0.10259,0.10259,clahe,clahe,clahe,9,9,9,9,9,9,9,41,13
01_03_12_03_0083.bmp,0,12,3,0,9,0.608,0.0,0.10463,0.10463,clahe,clahe,clahe,13,9,13,9,13,9,9,15,13
01_03_12_03_0084.bmp,0,12,3,0,9,0.581,0.0,0.10592,0.10592,clahe,clahe,clahe,13,9,13,9,13,9,9,15,13
01_06_12_03_0001.bmp,1,12,3,0,14,2.373,0.0,0.09531,0.09531,clahe,clahe,clahe,25,14,25,14,25,14,14,14,36
01_06_12_03_0002.bmp,0,12,3,0,14,1.565,0.0,0.10125,0.10125,clahe,clahe,clahe,25,25,25,25,25,25,25,14,25
01_06_12_03_0002.bmp,1,12,3,0,14,1.886,0.0,0.08053,0.08053,clahe,clahe,clahe,42,14,42,14,42,14,14,14,36
01_06_12_03_0004.bmp,0,12,3,0,14,1.428,0.0,0.09597,0.09597,clahe,clahe,clahe,25,14,25,14,25,14,14,14,25
01_06_12_03_0005.bmp,1,12,3,0,14,1.706,0.0,0.08405,0.08405,clahe,clahe,clahe,13,13,13,13,13,13,13,14,36
01_06_12_03_0007.bmp,0,12,3,0,14,1.898,0.0,0.10668,0.10668,passthrough,passthrough,clahe,25,25,25,25,25,14,14,14,25
01_06_12_03_0007.bmp,1,12,3,0,14,2.032,0.0,0.09472,0.09472,clahe,clahe,clahe,25,14,25,14,25,14,14,14,25
01_06_12_03_0008.bmp,1,12,3,0,14,1.896,0.0,0.09006,0.09006,clahe,clahe,clahe,1,14,1,14,1,14,14,14,36
01_06_12_03_0010.bmp,0,12,3,0,14,1.703,0.0,0.10846,0.10846,passthrough,passthrough,clahe,25,25,25,25,25,14,14,14,25
01_06_12_03_0013.bmp,1,12,3,0,14,1.945,0.0,0.10769,0.10769,passthrough,passthrough,clahe,36,36,36,36,25,14,14,14,36
01_06_12_03_0014.bmp,0,12,3,0,14,1.666,0.0,0.10859,0.10859,passthrough,passthrough,clahe,25,25,25,25,2,14,14,14,25
01_06_12_03_0016.bmp,1,12,3,0,14,1.757,0.0,0.10919,0.10919,passthrough,passthrough,clahe,25,25,25,25,25,14,14,14,25
01_06_12_03_0020.bmp,0,12,3,0,14,1.481,0.0,0.10276,0.10276,clahe,clahe,clahe,25,14,25,14,25,14,14,14,25
01_06_12_03_0021.bmp,0,12,3,0,14,1.382,0.0,0.10306,0.10306,clahe,clahe,clahe,2,14,2,14,2,14,14,14,25
01_06_12_03_0022.bmp,0,12,3,0,14,1.626,0.0,0.10679,0.10679,passthrough,passthrough,clahe,25,25,25,25,2,14,14,14,25
01_06_12_03_0022.bmp,1,12,3,0,14,1.776,0.0,0.13154,0.13154,passthrough,passthrough,stretch,25,25,25,25,25,25,14,14,25
01_06_12_03_0023.bmp,0,12,3,0,14,1.441,0.0,0.11342,0.11342,passthrough,passthrough,passthrough,25,25,25,25,25,25,14,14,25
01_06_12_03_0023.bmp,1,12,3,0,14,1.847,0.0,0.14324,0.14324,passthrough,passthrough,passthrough,13,13,13,13,13,13,14,14,13
01_06_12_03_0024.bmp,0,12,3,0,14,1.212,0.0,0.109,0.109,passthrough,passthrough,passthrough,25,25,25,25,25,25,14,14,25
01_06_12_03_0024.bmp,1,12,3,0,14,1.74,0.0,0.14265,0.14265,passthrough,passthrough,passthrough,25,25,25,25,25,25,14,14,25
01_06_12_03_0025.bmp,0,12,3,0,14,1.227,0.0,0.11375,0.11375,passthrough,passthrough,passthrough,25,25,25,25,25,25,14,14,25
01_06_12_03_0025.bmp,1,12,3,0,14,1.918,0.0,0.12262,0.12262,passthrough,passthrough,passthrough,25,25,25,25,25,25,14,14,25
01_06_12_03_0026.bmp,0,12,3,0,14,1.097,0.0,0.11418,0.11418,passthrough,passthrough,passthrough,25,25,25,25,25,25,14,14,25
01_06_12_03_0026.bmp,1,12,3,0,14,1.949,0.0,0.12786,0.12786,passthrough,passthrough,passthrough,25,25,25,25,25,25,14,14,25
01_06_12_03_0027.bmp,1,12,3,0,14,2.047,0.0,0.11882,0.11882,passthrough,passthrough,passthrough,25,25,25,25,25,25,13,14,25
01_06_12_03_0028.bmp,1,12,3,0,14,2.013,0.0,0.1171,0.1171,passthrough,passthrough,passthrough,25,25,25,25,25,25,14,14,25
01_06_12_03_0029.bmp,1,12,3,0,14,1.883,0.0,0.11097,0.11097,passthrough,passthrough,clahe,25,25,25,25,18,14,14,14,25
01_06_12_03_0030.bmp,0,12,3,0,14,1.13,0.0,0.10687,0.10687,passthrough,passthrough,clahe,25,25,25,25,2,14,14,14,25
01_06_12_03_0031.bmp,1,12,3,0,14,1.562,0.0,0.12281,0.12281,passthrough,passthrough,passthrough,12,12,12,12,12,12,13,3,12
01_06_12_03_0032.bmp,0,12,3,0,14,1.006,0.0,0.10083,0.10083,clahe,clahe,clahe,2,14,2,14,2,14,14,14,25
01_06_12_03_0032.bmp,1,12,3,0,14,1.365,0.0,0.11706,0.11706,passthrough,passthrough,passthrough,31,31,31,31,31,31,13,13,31
01_06_12_03_0033.bmp,1,12,3,0,14,1.576,0.0,0.11498,0.11498,passthrough,passthrough,passthrough,31,31,31,31,31,31,13,13,31
01_06_12_03_0034.bmp,0,12,3,0,14,1.106,0.0,0.10521,0.10521,clahe,clahe,clahe,4,14,4,14,4,14,14,14,25
01_06_12_03_0034.bmp,1,12,3,0,14,1.932,0.0,0.10764,0.10764,passthrough,passthrough,clahe,36,36,36,36,42,13,13,15,36
01_06_12_03_0036.bmp,1,12,3,0,14,1.72,0.0,0.10439,0.10439,clahe,clahe,clahe,2,7,2,7,2,7,7,14,31
01_06_12_03_0037.bmp,0,12,3,0,14,1.094,0.0,0.10624,0.10624,passthrough,passthrough,clahe,25,25,25,25,5,14,14,14,25
01_06_12_03_0037.bmp,1,12,3,0,14,1.381,0.0,0.11608,0.11608,passthrough,passthrough,passthrough,31,31,31,31,31,31,17,8,31
01_06_12_03_0044.bmp,0,12,3,0,14,0.99,0.0,0.1099,0.1099,passthrough,passthrough,passthrough,10,10,10,10,10,10,17,17,10
01_06_12_03_0045.bmp,0,12,3,0,14,0.798,0.0,0.08664,0.08664,clahe,clahe,clahe,16,14,16,14,16,14,14,17,31
01_06_12_03_0051.bmp,0,12,3,0,14,0.952,0.0,0.11157,0.11157,stretch,stretch,stretch,13,13,13,13,13,13,14,14,32
01_06_12_03_0052.bmp,0,12,3,0,14,1.243,0.0,0.11299,0.11299,passthrough,passthrough,stretch,32,32,32,32,13,13,14,14,32
01_06_12_03_0056.bmp,0,12,3,0,14,0.94,0.0,0.09442,0.09442,clahe,clahe,clahe,16,14,16,14,16,14,14,17,36
