filename,occ,ch,sev,true,flat_raw,flat_gamma,flat_clahe,flat_stretch,flat_dcp,flat_n1,flat_n2,flat_n3,flat_n4,flat_n6,flat_n8,flat_n12,flat_n16,flat_n24,flat_n32,pred_raw,pred_gamma,pred_clahe,pred_stretch,pred_dcp,pred_n1,pred_n2,pred_n3,pred_n4,pred_n6,pred_n8,pred_n12,pred_n16,pred_n24,pred_n32
01_03_07_01_0001.bmp,0,7,1,9,3.6258,2.8997,17.4309,5.3433,9.1501,3.715,3.9181,3.829,3.2232,3.9543,4.9624,5.0139,5.8491,9.1878,9.9908,13,13,16,13,13,13,13,13,13,13,13,13,13,13,40
01_03_07_01_0003.bmp,0,7,1,9,3.4512,2.7586,18.4708,5.1165,8.8975,3.4879,3.4678,3.0645,3.8396,3.5541,4.3017,5.6713,7.0156,8.6719,11.2684,13,13,16,13,13,13,13,13,13,13,13,13,13,12,12
01_03_07_01_0011.bmp,0,7,1,9,4.7683,3.731,19.0497,7.0671,8.3581,4.5767,4.9916,4.6725,4.8067,5.3466,5.3141,6.9969,7.4416,9.5288,11.2237,16,13,16,41,25,16,16,16,16,16,16,16,41,12,25
01_03_07_01_0012.bmp,0,7,1,9,4.8346,3.9184,19.4816,7.3366,9.2476,4.87,4.8682,4.8833,4.9556,5.3487,5.6731,6.8562,7.4461,9.5354,11.2706,16,13,16,41,15,13,13,16,13,13,13,13,13,12,13
01_03_07_01_0015.bmp,0,7,1,9,5.2946,4.1659,17.4321,7.9146,10.7183,5.373,5.3962,5.0707,5.5391,5.6319,5.5619,6.5579,7.539,8.5809,11.7806,13,13,16,41,15,13,13,13,13,13,13,13,13,13,13
01_03_07_01_0018.bmp,0,7,1,9,5.8492,4.5888,16.9939,8.6952,9.9501,5.8923,5.818,5.9838,5.9819,6.3289,6.4688,7.1583,7.36,9.9024,12.4792,15,13,16,15,15,15,13,13,13,13,41,41,41,13,41
01_03_07_01_0021.bmp,0,7,1,9,6.5843,4.939,20.681,9.7966,11.6746,6.6473,6.7696,6.6863,6.77,6.7098,7.4949,8.2646,8.2275,10.0796,12.1276,13,13,41,15,15,13,13,13,13,13,13,13,41,41,25
01_03_07_01_0022.bmp,0,7,1,9,6.536,5.0499,19.2411,9.8352,12.1002,6.6193,6.8699,6.6396,6.5516,6.6829,7.2779,8.1184,7.9922,10.9867,13.6645,13,13,41,15,15,13,13,13,13,13,13,13,13,13,40
01_03_07_01_0024.bmp,0,7,1,9,7.5272,5.7218,19.2413,11.2623,12.55,7.3426,7.5307,7.3151,7.6514,7.6903,7.5464,9.3086,9.1593,10.8744,13.3562,15,13,41,15,15,15,13,13,13,13,13,13,13,41,25
01_03_07_01_0026.bmp,0,7,1,9,7.0766,5.8917,22.2171,10.613,10.5801,7.2254,7.0151,7.3167,7.3304,7.7328,8.1021,8.8029,10.6904,13.4248,15.6681,15,13,41,15,15,15,13,13,13,13,13,13,13,41,40
