ch_id,ch_name,sev,passthrough,gamma,clahe,stretch,va_rule,cidnet,adair,zero_dce,ffa_net,promptir,oracle4,oracle6
1,Decolorization,1,77.81,78.4,63.61,74.7,77.81,80.47,76.85,78.33,77.29,76.55,85.95,86.98
1,Decolorization,2,74.63,73.59,58.36,72.26,74.63,79.73,74.48,75.52,74.33,73.67,84.39,86.09
1,Decolorization,3,66.86,65.68,46.75,68.42,66.86,76.18,66.94,68.71,68.93,68.49,80.55,83.58
1,Decolorization,4,55.03,60.43,37.06,61.39,55.03,66.49,55.62,63.83,58.06,57.32,72.93,77.14
1,Decolorization,5,54.73,62.13,34.99,52.81,54.73,57.32,53.4,62.43,52.44,51.55,65.16,66.05
2,LensBlur,1,67.83,62.94,72.34,66.94,67.9,67.16,69.75,63.68,68.49,67.01,80.99,82.32
2,LensBlur,2,49.93,46.38,58.65,51.92,50.74,51.04,51.33,46.67,51.63,48.37,67.09,68.27
2,LensBlur,3,38.31,24.33,43.05,38.61,38.02,31.21,40.09,24.78,36.46,37.28,53.92,56.51
2,LensBlur,4,19.08,16.49,36.02,21.45,20.93,19.97,30.99,17.9,19.9,19.16,40.24,46.97
2,LensBlur,5,13.39,12.28,34.69,16.35,14.94,13.91,18.71,11.69,15.38,14.42,39.2,41.79
3,CodecError,1,61.39,62.8,42.75,57.03,61.39,62.13,61.46,61.02,60.95,60.58,71.08,73.45
3,CodecError,2,57.99,57.69,37.13,52.07,57.69,57.47,56.88,56.36,56.58,56.8,67.31,69.75
3,CodecError,3,50.81,52.81,31.29,45.93,50.3,50.0,50.44,50.44,49.56,50.07,61.02,63.68
3,CodecError,4,46.6,48.08,28.48,41.94,46.15,45.86,45.71,46.6,45.49,45.41,57.62,60.06
3,CodecError,5,45.04,45.86,27.37,40.01,44.82,44.45,44.97,44.23,44.3,44.23,55.03,57.99
4,Darkening,1,76.7,77.37,63.31,71.08,76.7,78.62,76.78,80.7,75.96,75.07,84.84,86.54
4,Darkening,2,75.07,75.74,58.43,55.99,72.71,77.66,75.59,80.18,75.59,75.0,83.06,85.13
4,Darkening,3,69.08,77.37,52.51,8.28,76.41,76.18,74.26,77.88,71.3,69.38,80.25,84.47
4,Darkening,4,59.84,76.33,51.04,0.0,76.33,74.7,71.75,77.22,59.47,48.89,79.44,85.21
4,Darkening,5,32.47,73.59,47.34,0.0,73.59,69.23,60.87,73.89,21.6,6.66,75.74,81.36
