crop_id,img_id,split,true,left,top,right,bottom,cw,ch,b,c,e,pred_passthrough,prob_passthrough,pred_gamma,prob_gamma,pred_clahe,prob_clahe,pred_stretch,prob_stretch
00000_0,0,calib,11,774,411,815,446,51,45,0.556012,0.569728,0.262745,11,0.915023,11,0.945248,11,0.720399,11,0.910938
00001_1,1,calib,40,983,388,1024,432,51,54,0.605603,0.660856,0.204793,40,0.90134,40,0.94197,40,0.862491,40,0.667933
00001_2,1,calib,38,386,494,442,552,68,70,0.581432,0.722759,0.130042,38,0.816489,38,0.870521,38,0.556629,38,0.667869
00001_3,1,calib,13,973,335,1031,390,70,67,0.745424,0.585784,0.136034,13,0.793439,13,0.906939,13,0.600469,13,0.678188
00002_4,2,calib,39,892,476,1006,592,136,140,0.459075,0.631964,0.122059,39,0.813155,39,0.763533,39,0.595474,39,0.546101
00003_5,3,calib,4,742,443,765,466,33,33,0.345073,0.268312,0.363636,4,0.907643,4,0.919749,4,0.439682,4,0.751754
00003_6,3,calib,9,742,466,764,489,32,33,0.348403,0.271883,0.346591,9,0.967809,9,0.931106,9,0.513798,9,0.938228
00003_7,3,calib,21,737,412,769,443,42,41,0.518248,0.46515,0.363531,21,0.945997,21,0.857991,21,0.919583,21,0.929898
00004_8,4,calib,21,898,342,967,409,83,81,0.36953,0.480514,0.229957,21,0.887083,21,0.698717,21,0.83224,21,0.919771
00004_9,4,calib,2,906,407,955,459,59,62,0.356473,0.450496,0.235375,2,0.897575,2,0.76609,2,0.75736,2,0.760065
00005_10,5,calib,9,1172,164,1284,278,134,136,0.11656,0.170198,0.014212,9,0.702198,9,0.635118,9,0.143213,19,0.422426
00006_11,6,calib,2,926,350,989,414,75,76,0.290437,0.102153,0.056316,2,0.747315,2,0.489235,2,0.639928,2,0.532622
00007_12,7,calib,9,825,406,864,445,49,49,0.455196,0.571079,0.26364,9,0.76454,9,0.873716,9,0.340743,9,0.775866
00008_13,8,calib,2,785,460,811,486,36,36,0.482244,0.616476,0.354938,2,0.94908,2,0.952476,2,0.957652,2,0.817506
00008_14,8,calib,12,779,424,816,461,47,47,0.504957,0.66928,0.279312,12,0.715713,12,0.989435,12,0.490539,12,0.685344
00009_15,9,calib,4,925,466,949,490,34,34,0.629079,0.581128,0.274221,4,0.794332,4,0.685073,4,0.500198,4,0.760564
00010_16,10,calib,12,1193,358,1269,436,92,94,0.509552,0.735021,0.235777,12,0.378524,12,0.350059,12,0.409724,32,0.197957
00011_17,11,calib,1,720,338,770,398,60,72,0.595435,0.696281,0.22963,1,0.940932,1,0.929602,1,0.903651,1,0.920134
00011_18,11,calib,21,710,265,780,342,84,93,0.544921,0.688679,0.235663,4,0.127979,18,0.13138,21,0.109169,4,0.120502
00012_19,12,calib,1,979,364,1034,418,67,64,0.706454,0.603022,0.242071,1,0.910306,1,0.909249,1,0.848577,1,0.829062
00013_20,13,calib,2,1043,281,1120,356,93,91,0.735142,0.588032,0.173343,2,0.789005,2,0.774838,2,0.756631,2,0.717303
00014_21,14,calib,21,712,492,732,511,30,29,0.454217,0.525293,0.322989,23,0.225958,23,0.349113,23,0.253872,23,0.305978
00015_22,15,calib,25,770,426,808,462,48,46,0.17901,0.19953,0.246377,27,0.241762,25,0.476993,19,0.277445,25,0.17988
00016_23,16,calib,12,901,421,959,478,70,69,0.532637,0.713208,0.191925,12,0.286962,12,0.464023,12,0.20119,32,0.221075
00017_24,17,calib,30,908,302,1031,408,147,128,0.329421,0.429052,0.023012,30,0.574415,30,0.274947,30,0.179982,13,0.199955
00017_25,17,calib,11,575,495,598,515,33,30,0.095167,0.040164,0.0,11,0.442085,12,0.176643,11,0.675505,19,0.699728
00018_26,18,calib,4,950,455,981,486,41,41,0.676509,0.579162,0.328376,4,0.701287,4,0.65303,4,0.542163,4,0.717763
00019_27,19,calib,12,838,366,896,422,70,68,0.368095,0.118255,0.093277,12,0.63416,12,0.200684,12,0.455868,12,0.6876
00019_28,19,calib,2,845,423,888,465,53,52,0.325648,0.075886,0.083091,2,0.866227,2,0.48902,2,0.770389,2,0.706093
00020_29,20,calib,23,825,428,862,463,47,45,0.566039,0.528359,0.319622,23,0.942088,23,0.962599,23,0.542369,23,0.927421
00021_30,21,calib,27,825,388,877,437,62,59,0.14874,0.083742,0.061509,27,0.920606,27,0.538944,27,0.266341,27,0.35738
00022_31,22,calib,27,667,472,692,497,35,35,0.270988,0.405942,0.165714,27,0.915919,27,0.312222,27,0.533178,27,0.928187
00023_32,23,calib,1,998,292,1074,371,92,95,0.516725,0.693312,0.213959,1,0.814509,1,0.75804,1,0.739222,1,0.607988
00023_33,23,calib,23,46,350,136,444,108,112,0.412592,0.675917,0.161706,23,0.76836,23,0.813636,23,0.741803,23,0.700184
00023_34,23,calib,23,945,435,1006,492,73,69,0.419922,0.677518,0.242803,23,0.944028,23,0.917365,23,0.937013,23,0.936032
00024_35,24,calib,13,112,463,143,492,41,39,0.560713,0.351604,0.328956,13,0.78558,13,0.802412,13,0.404416,13,0.796674
00025_36,25,calib,13,731,422,772,459,51,47,0.17954,0.039578,0.0,13,0.724366,36,0.591028,13,0.18704,14,0.62963
00025_37,25,calib,40,734,463,767,497,43,44,0.175847,0.045092,0.011099,13,0.182324,36,0.910789,25,0.460525,14,0.235927
00026_38,26,calib,1,453,411,492,451,49,50,0.459257,0.362888,0.268163,1,0.961976,1,0.97185,1,0.595483,1,0.925819
00027_39,27,calib,2,969,386,1024,441,67,67,0.652947,0.657811,0.255291,2,0.925562,2,0.818282,2,0.957839,2,0.878742
00027_40,27,calib,2,102,375,157,430,67,67,0.492546,0.722442,0.207173,2,0.929841,2,0.886144,2,0.938878,2,0.926617
00028_41,28,calib,25,775,399,833,453,70,64,0.188981,0.125757,0.124554,25,0.927817,25,0.905998,25,0.643217,25,0.874431
00028_42,28,calib,35,391,468,417,494,36,36,0.219115,0.185546,0.227623,35,0.962305,35,0.960652,35,0.480322,35,0.244288
00029_43,29,calib,15,1091,393,1133,436,52,53,0.208425,0.158674,0.109942,15,0.88657,15,0.417151,3,0.245268,15,0.908679
00030_44,30,calib,38,394,511,420,537,36,36,0.396015,0.537609,0.31713,38,0.974181,38,0.981645,38,0.749626,38,0.806884
00031_45,31,calib,25,763,426,812,473,59,57,0.698709,0.613425,0.211716,25,0.880955,25,0.867392,25,0.888691,25,0.811065
00031_46,31,calib,12,597,456,628,488,41,42,0.55697,0.643206,0.207898,12,0.779643,12,0.961913,12,0.633208,12,0.702276
00032_47,32,calib,13,678,443,707,469,39,36,0.482102,0.56222,0.311254,13,0.948391,13,0.987426,13,0.74332,13,0.916068
00032_48,32,calib,33,683,469,703,493,30,34,0.43406,0.407074,0.333333,33,0.775526,33,0.948953,33,0.759463,33,0.327909
00033_49,33,calib,38,22,505,88,571,80,80,0.31306,0.408368,0.134375,38,0.939468,38,0.943168,38,0.809342,38,0.923498
00034_50,34,calib,28,866,430,899,460,43,40,0.762528,0.49375,0.289535,26,0.632699,26,0.257064,26,0.254108,26,0.572848
00035_51,35,calib,38,264,475,302,514,48,49,0.460663,0.591648,0.242347,34,0.131172,34,0.134398,40,0.112737,27,0.081876
00035_52,35,calib,13,678,439,714,474,46,45,0.18844,0.283629,0.168116,13,0.86014,13,0.90054,13,0.505032,13,0.610634
00036_53,36,calib,12,1133,393,1164,424,41,41,0.254914,0.235551,0.216538,12,0.990108,12,0.997851,12,0.789586,12,0.920002
00036_54,36,calib,35,1138,424,1163,450,35,36,0.205232,0.214545,0.235714,35,0.860057,35,0.688176,35,0.393814,35,0.589018
00037_55,37,calib,38,668,527,690,548,32,31,0.447672,0.459399,0.278226,38,0.947946,38,0.909972,38,0.617699,38,0.936353
00038_56,38,calib,12,1120,444,1142,464,32,30,0.387537,0.424373,0.259375,12,0.978998,12,0.993167,12,0.549144,12,0.870598
00039_57,39,calib,12,938,167,1022,251,100,100,0.6267,0.464898,0.185,12,0.950174,12,0.963233,12,0.891918,12,0.931049
00039_58,39,calib,35,953,252,1015,313,74,73,0.48279,0.528351,0.151796,35,0.907113,35,0.846775,35,0.76539,35,0.88977
00040_59,40,calib,33,1040,310,1130,400,108,108,0.393589,0.496205,0.111883,33,0.881116,33,0.969832,33,0.797646,33,0.870152
