filename,true,condition,b,c,e,rule_branch,pred_passthrough,prob_passthrough,ptrue_passthrough,pred_gamma,prob_gamma,ptrue_gamma,pred_clahe,prob_clahe,ptrue_clahe,pred_stretch,prob_stretch,ptrue_stretch
data\gtsrb\GTSRB\Training\00000\00003_00016.ppm,0,clean,0.465011,0.390495,0.238901,passthrough,0,0.970633,0.970633,0,0.960469,0.960469,0,0.872609,0.872609,0,0.946459,0.946459
data\gtsrb\GTSRB\Training\00000\00003_00016.ppm,0,lowlight,0.151186,0.244156,0.231501,passthrough,0,0.326876,0.326876,0,0.912699,0.912699,0,0.299091,0.299091,38,0.175196,0.016222
data\gtsrb\GTSRB\Training\00000\00003_00016.ppm,0,foggy,0.642524,0.214279,0.226216,passthrough,0,0.87568,0.87568,1,0.651902,0.097893,0,0.766385,0.766385,0,0.965053,0.965053
data\gtsrb\GTSRB\Training\00000\00003_00016.ppm,0,lowcontrast,0.463636,0.117202,0.134249,passthrough,0,0.487223,0.487223,1,0.427453,0.041898,0,0.610048,0.610048,0,0.864515,0.864515
data\gtsrb\GTSRB\Training\00000\00003_00016.ppm,0,noisy,0.459526,0.411244,0.326638,passthrough,0,0.722781,0.722781,0,0.77893,0.77893,0,0.328137,0.328137,0,0.536802,0.536802
data\gtsrb\GTSRB\Training\00000\00003_00016.ppm,0,mixed,0.46278,0.225389,0.327696,passthrough,0,0.437169,0.437169,0,0.2106,0.2106,0,0.184256,0.184256,0,0.37376,0.37376
data\gtsrb\GTSRB\Training\00000\00002_00029.ppm,0,clean,0.341452,0.435816,0.221774,passthrough,0,0.830386,0.830386,0,0.940715,0.940715,0,0.720556,0.720556,0,0.685559,0.685559
data\gtsrb\GTSRB\Training\00000\00002_00029.ppm,0,lowlight,0.101793,0.397523,0.124868,gamma,0,0.121809,0.121809,0,0.695932,0.695932,0,0.206847,0.206847,19,0.217109,0.006856
data\gtsrb\GTSRB\Training\00000\00002_00029.ppm,0,foggy,0.574711,0.239358,0.20862,passthrough,0,0.589362,0.589362,1,0.293877,0.052046,0,0.686682,0.686682,0,0.898317,0.898317
data\gtsrb\GTSRB\Training\00000\00002_00029.ppm,0,lowcontrast,0.339869,0.130899,0.137427,passthrough,2,0.213324,0.08519,25,0.329932,0.022242,0,0.474184,0.474184,0,0.60006,0.60006
data\gtsrb\GTSRB\Training\00000\00002_00029.ppm,0,noisy,0.339944,0.443251,0.338181,passthrough,0,0.500446,0.500446,0,0.612264,0.612264,0,0.275075,0.275075,0,0.255423,0.255423
data\gtsrb\GTSRB\Training\00000\00002_00029.ppm,0,mixed,0.507981,0.308313,0.327737,passthrough,0,0.484771,0.484771,25,0.168691,0.153223,0,0.287422,0.287422,0,0.550482,0.550482
data\gtsrb\GTSRB\Training\00000\00001_00007.ppm,0,clean,0.542805,0.466778,0.336898,passthrough,0,0.890451,0.890451,0,0.93783,0.93783,0,0.453523,0.453523,0,0.653718,0.653718
data\gtsrb\GTSRB\Training\00000\00001_00007.ppm,0,lowlight,0.263385,0.596333,0.297683,passthrough,0,0.201719,0.201719,0,0.661619,0.661619,0,0.303291,0.303291,14,0.141808,0.08984
data\gtsrb\GTSRB\Training\00000\00001_00007.ppm,0,foggy,0.685282,0.256516,0.301248,passthrough,0,0.868699,0.868699,1,0.612009,0.072591,0,0.465111,0.465111,0,0.909684,0.909684
data\gtsrb\GTSRB\Training\00000\00001_00007.ppm,0,lowcontrast,0.541467,0.140073,0.243316,passthrough,1,0.320103,0.303142,1,0.576486,0.019421,0,0.47961,0.47961,0,0.827228,0.827228
data\gtsrb\GTSRB\Training\00000\00001_00007.ppm,0,noisy,0.536409,0.473745,0.346702,passthrough,0,0.627307,0.627307,0,0.853467,0.853467,0,0.22065,0.22065,0,0.388219,0.388219
data\gtsrb\GTSRB\Training\00000\00001_00007.ppm,0,mixed,0.309919,0.290778,0.26738,passthrough,0,0.380837,0.380837,0,0.812576,0.812576,0,0.428316,0.428316,0,0.20759,0.20759
data\gtsrb\GTSRB\Training\00000\00002_00029.ppm,0,clean,0.341452,0.435816,0.221774,passthrough,0,0.830386,0.830386,0,0.940715,0.940715,0,0.720556,0.720556,0,0.685559,0.685559
data\gtsrb\GTSRB\Training\00000\00002_00029.ppm,0,lowlight,0.101793,0.397523,0.124868,gamma,0,0.121809,0.121809,0,0.695932,0.695932,0,0.206847,0.206847,19,0.217109,0.006856
data\gtsrb\GTSRB\Training\00000\00002_00029.ppm,0,foggy,0.574711,0.239358,0.20862,passthrough,0,0.589362,0.589362,1,0.293877,0.052046,0,0.686682,0.686682,0,0.898317,0.898317
data\gtsrb\GTSRB\Training\00000\00002_00029.ppm,0,lowcontrast,0.339869,0.130899,0.137427,passthrough,2,0.213324,0.08519,25,0.329932,0.022242,0,0.474184,0.474184,0,0.60006,0.60006
data\gtsrb\GTSRB\Training\00000\00002_00029.ppm,0,noisy,0.340271,0.442577,0.344064,passthrough,0,0.478769,0.478769,0,0.631235,0.631235,0,0.472993,0.472993,0,0.297164,0.297164
data\gtsrb\GTSRB\Training\00000\00002_00029.ppm,0,mixed,0.337866,0.216469,0.271946,passthrough,0,0.294756,0.294756,25,0.237242,0.145485,0,0.151618,0.151618,0,0.322147,0.322147
data\gtsrb\GTSRB\Training\00000\00001_00002.ppm,0,clean,0.551589,0.435169,0.351724,passthrough,0,0.968775,0.968775,0,0.942669,0.942669,0,0.554,0.554,0,0.895144,0.895144
data\gtsrb\GTSRB\Training\00000\00001_00002.ppm,0,lowlight,0.258449,0.541992,0.294253,passthrough,0,0.287281,0.287281,0,0.835517,0.835517,0,0.429726,0.429726,0,0.113774,0.113774
data\gtsrb\GTSRB\Training\00000\00001_00002.ppm,0,foggy,0.690061,0.238768,0.32069,passthrough,0,0.872088,0.872088,1,0.725514,0.060785,0,0.516987,0.516987,0,0.947128,0.947128
data\gtsrb\GTSRB\Training\00000\00001_00002.ppm,0,lowcontrast,0.551188,0.130755,0.211494,passthrough,1,0.371435,0.323786,1,0.547529,0.027698,0,0.418327,0.418327,0,0.810225,0.810225
data\gtsrb\GTSRB\Training\00000\00001_00002.ppm,0,noisy,0.546405,0.446179,0.368966,passthrough,0,0.820749,0.820749,0,0.845343,0.845343,0,0.300586,0.300586,0,0.645891,0.645891
data\gtsrb\GTSRB\Training\00000\00001_00002.ppm,0,mixed,0.547392,0.219838,0.367816,passthrough,0,0.82798,0.82798,1,0.470004,0.186594,0,0.575501,0.575501,0,0.921168,0.921168
data\gtsrb\GTSRB\Training\00000\00003_00010.ppm,0,clean,0.5032,0.394507,0.272222,passthrough,0,0.975758,0.975758,0,0.966138,0.966138,0,0.851159,0.851159,0,0.879063,0.879063
data\gtsrb\GTSRB\Training\00000\00003_00010.ppm,0,lowlight,0.190442,0.32003,0.269048,passthrough,0,0.152862,0.152862,0,0.874024,0.874024,0,0.436379,0.436379,25,0.203162,0.014555
data\gtsrb\GTSRB\Training\00000\00003_00010.ppm,0,foggy,0.663486,0.216416,0.262698,passthrough,0,0.945224,0.945224,1,0.65071,0.130536,0,0.757899,0.757899,0,0.973561,0.973561
data\gtsrb\GTSRB\Training\00000\00003_00010.ppm,0,lowcontrast,0.500934,0.11829,0.120635,passthrough,0,0.540399,0.540399,1,0.357375,0.047526,0,0.457487,0.457487,0,0.899905,0.899905
data\gtsrb\GTSRB\Training\00000\00003_00010.ppm,0,noisy,0.499356,0.413106,0.347619,passthrough,0,0.801498,0.801498,0,0.912897,0.912897,0,0.418197,0.418197,0,0.379337,0.379337
data\gtsrb\GTSRB\Training\00000\00003_00010.ppm,0,mixed,0.498855,0.187447,0.296032,passthrough,0,0.727866,0.727866,1,0.321241,0.171804,0,0.241246,0.241246,0,0.841205,0.841205
data\gtsrb\GTSRB\Training\00000\00001_00012.ppm,0,clean,0.569124,0.484724,0.33642,passthrough,0,0.906896,0.906896,0,0.966251,0.966251,0,0.724987,0.724987,0,0.722483,0.722483
data\gtsrb\GTSRB\Training\00000\00001_00012.ppm,0,lowlight,0.301437,0.637254,0.314815,passthrough,0,0.324955,0.324955,0,0.79064,0.79064,0,0.567226,0.567226,38,0.144546,0.099788
data\gtsrb\GTSRB\Training\00000\00001_00012.ppm,0,foggy,0.699821,0.266552,0.317901,passthrough,0,0.958159,0.958159,1,0.571513,0.199998,0,0.657804,0.657804,0,0.966884,0.966884
data\gtsrb\GTSRB\Training\00000\00001_00012.ppm,0,lowcontrast,0.567871,0.145811,0.229938,passthrough,0,0.593733,0.593733,1,0.657542,0.027175,0,0.548046,0.548046,0,0.938019,0.938019
data\gtsrb\GTSRB\Training\00000\00001_00012.ppm,0,noisy,0.560778,0.487509,0.347222,passthrough,0,0.795275,0.795275,0,0.935373,0.935373,0,0.423572,0.423572,0,0.59091,0.59091
data\gtsrb\GTSRB\Training\00000\00001_00012.ppm,0,mixed,0.56798,0.273771,0.381944,passthrough,0,0.937974,0.937974,0,0.580988,0.580988,0,0.65768,0.65768,0,0.839491,0.839491
data\gtsrb\GTSRB\Training\00000\00004_00000.ppm,0,clean,0.489518,0.500637,0.199384,passthrough,0,0.922708,0.922708,0,0.916633,0.916633,0,0.925074,0.925074,0,0.892263,0.892263
data\gtsrb\GTSRB\Training\00000\00004_00000.ppm,0,lowlight,0.213475,0.477802,0.174114,passthrough,8,0.143748,0.13551,0,0.827748,0.827748,0,0.235026,0.235026,8,0.101859,0.004168
data\gtsrb\GTSRB\Training\00000\00004_00000.ppm,0,foggy,0.656038,0.274825,0.165794,passthrough,0,0.790593,0.790593,1,0.725053,0.08327,0,0.867995,0.867995,0,0.91395,0.91395
data\gtsrb\GTSRB\Training\00000\00004_00000.ppm,0,lowcontrast,0.484297,0.150569,0.148844,passthrough,0,0.307583,0.307583,1,0.614587,0.026225,0,0.699645,0.699645,0,0.755698,0.755698
data\gtsrb\GTSRB\Training\00000\00004_00000.ppm,0,noisy,0.486644,0.507358,0.31926,passthrough,0,0.765626,0.765626,0,0.837283,0.837283,0,0.678786,0.678786,0,0.708623,0.708623
data\gtsrb\GTSRB\Training\00000\00004_00000.ppm,0,mixed,0.459225,0.333903,0.17319,passthrough,0,0.471733,0.471733,0,0.34836,0.34836,0,0.679404,0.679404,0,0.569779,0.569779
data\gtsrb\GTSRB\Training\00000\00000_00019.ppm,0,clean,0.427362,0.442498,0.245653,passthrough,0,0.857675,0.857675,0,0.940813,0.940813,0,0.653326,0.653326,0,0.862633,0.862633
data\gtsrb\GTSRB\Training\00000\00000_00019.ppm,0,lowlight,0.168584,0.458922,0.221976,passthrough,0,0.445469,0.445469,0,0.821915,0.821915,0,0.722812,0.722812,0,0.300375,0.300375
data\gtsrb\GTSRB\Training\00000\00000_00019.ppm,0,foggy,0.62181,0.242872,0.239734,passthrough,0,0.970397,0.970397,0,0.611006,0.611006,0,0.780209,0.780209,0,0.947345,0.947345
data\gtsrb\GTSRB\Training\00000\00000_00019.ppm,0,lowcontrast,0.428259,0.132922,0.17832,passthrough,0,0.895954,0.895954,1,0.446014,0.326593,0,0.746702,0.746702,0,0.943819,0.943819
data\gtsrb\GTSRB\Training\00000\00000_00019.ppm,0,noisy,0.422695,0.452796,0.351091,passthrough,0,0.831385,0.831385,0,0.902098,0.902098,0,0.661979,0.661979,0,0.824685,0.824685
data\gtsrb\GTSRB\Training\00000\00000_00019.ppm,0,mixed,0.396657,0.35152,0.225675,passthrough,0,0.856819,0.856819,0,0.968475,0.968475,0,0.765912,0.765912,0,0.776701,0.776701
data\gtsrb\GTSRB\Training\00000\00002_00015.ppm,0,clean,0.485661,0.342413,0.20464,passthrough,0,0.927354,0.927354,0,0.934065,0.934065,0,0.759457,0.759457,0,0.798914,0.798914
data\gtsrb\GTSRB\Training\00000\00002_00015.ppm,0,lowlight,0.15735,0.283183,0.174896,passthrough,0,0.198514,0.198514,0,0.812116,0.812116,0,0.367267,0.367267,19,0.484583,0.001468
data\gtsrb\GTSRB\Training\00000\00002_00015.ppm,0,foggy,0.653796,0.187885,0.179655,passthrough,0,0.677966,0.677966,1,0.466197,0.036862,0,0.669475,0.669475,0,0.875958,0.875958
data\gtsrb\GTSRB\Training\00000\00002_00015.ppm,0,lowcontrast,0.485162,0.102635,0.12909,clahe,0,0.143182,0.143182,1,0.271489,0.01315,0,0.612569,0.612569,0,0.680936,0.680936
data\gtsrb\GTSRB\Training\00000\00002_00015.ppm,0,noisy,0.483109,0.368785,0.361689,passthrough,0,0.629798,0.629798,0,0.914955,0.914955,0,0.527664,0.527664,0,0.306722,0.306722
data\gtsrb\GTSRB\Training\00000\00002_00015.ppm,0,mixed,0.202359,0.317589,0.240928,passthrough,0,0.282606,0.282606,0,0.5345,0.5345,0,0.273619,0.273619,23,0.225354,0.00991
data\gtsrb\GTSRB\Training\00000\00000_00024.ppm,0,clean,0.381233,0.45691,0.206544,passthrough,0,0.783503,0.783503,0,0.90375,0.90375,0,0.68629,0.68629,0,0.599436,0.599436
data\gtsrb\GTSRB\Training\00000\00000_00024.ppm,0,lowlight,0.13753,0.379753,0.171226,passthrough,0,0.399823,0.399823,0,0.708383,0.708383,0,0.378751,0.378751,0,0.191883,0.191883
data\gtsrb\GTSRB\Training\00000\00000_00024.ppm,0,foggy,0.596511,0.250783,0.186634,passthrough,0,0.93695,0.93695,0,0.456215,0.456215,0,0.830735,0.830735,0,0.912838,0.912838
data\gtsrb\GTSRB\Training\00000\00000_00024.ppm,0,lowcontrast,0.380425,0.137037,0.161704,passthrough,0,0.724349,0.724349,0,0.402846,0.402846,0,0.79516,0.79516,0,0.869839,0.869839
data\gtsrb\GTSRB\Training\00000\00000_00024.ppm,0,noisy,0.379823,0.47166,0.302112,passthrough,0,0.764639,0.764639,0,0.870985,0.870985,0,0.64243,0.64243,0,0.549567,0.549567
data\gtsrb\GTSRB\Training\00000\00000_00024.ppm,0,mixed,0.552186,0.300547,0.227666,passthrough,0,0.893523,0.893523,0,0.67727,0.67727,0,0.628925,0.628925,0,0.794159,0.794159
data\gtsrb\GTSRB\Training\00000\00004_00025.ppm,0,clean,0.675696,0.652494,0.122281,passthrough,0,0.853059,0.853059,0,0.904948,0.904948,0,0.811297,0.811297,0,0.72978,0.72978
data\gtsrb\GTSRB\Training\00000\00004_00025.ppm,0,lowlight,0.516299,0.827851,0.12078,passthrough,0,0.474843,0.474843,0,0.780449,0.780449,0,0.402071,0.402071,0,0.265731,0.265731
data\gtsrb\GTSRB\Training\00000\00004_00025.ppm,0,foggy,0.75854,0.358865,0.121155,passthrough,0,0.821222,0.821222,1,0.291656,0.260601,0,0.856385,0.856385,0,0.894197,0.894197
data\gtsrb\GTSRB\Training\00000\00004_00025.ppm,0,lowcontrast,0.675148,0.195966,0.115279,passthrough,0,0.395613,0.395613,1,0.611987,0.036533,0,0.663469,0.663469,0,0.697288,0.697288
data\gtsrb\GTSRB\Training\00000\00004_00025.ppm,0,noisy,0.660168,0.631513,0.215804,passthrough,0,0.709802,0.709802,0,0.767857,0.767857,0,0.674768,0.674768,0,0.644121,0.644121
data\gtsrb\GTSRB\Training\00000\00004_00025.ppm,0,mixed,0.734165,0.194886,0.116654,passthrough,0,0.307065,0.307065,1,0.641585,0.023976,0,0.725952,0.725952,0,0.603218,0.603218
data\gtsrb\GTSRB\Training\00000\00003_00013.ppm,0,clean,0.468686,0.390147,0.261134,passthrough,0,0.978047,0.978047,0,0.949056,0.949056,0,0.880422,0.880422,0,0.950221,0.950221
data\gtsrb\GTSRB\Training\00000\00003_00013.ppm,0,lowlight,0.15504,0.251605,0.248313,passthrough,0,0.259189,0.259189,0,0.919206,0.919206,0,0.41747,0.41747,19,0.220319,0.008695
data\gtsrb\GTSRB\Training\00000\00003_00013.ppm,0,foggy,0.644487,0.214003,0.253036,passthrough,0,0.854073,0.854073,1,0.718334,0.080507,0,0.743973,0.743973,0,0.967904,0.967904
data\gtsrb\GTSRB\Training\00000\00003_00013.ppm,0,lowcontrast,0.466632,0.117035,0.162618,passthrough,0,0.399233,0.399233,1,0.426212,0.044992,0,0.527329,0.527329,0,0.819761,0.819761
data\gtsrb\GTSRB\Training\00000\00003_00013.ppm,0,noisy,0.468453,0.403776,0.342105,passthrough,0,0.750869,0.750869,0,0.837811,0.837811,0,0.487411,0.487411,0,0.588382,0.588382
data\gtsrb\GTSRB\Training\00000\00003_00013.ppm,0,mixed,0.448543,0.190626,0.251687,passthrough,0,0.792585,0.792585,0,0.36576,0.36576,0,0.528358,0.528358,0,0.904476,0.904476
data\gtsrb\GTSRB\Training\00000\00002_00010.ppm,0,clean,0.452154,0.238635,0.257785,passthrough,0,0.918821,0.918821,0,0.913377,0.913377,0,0.748556,0.748556,0,0.740855,0.740855
data\gtsrb\GTSRB\Training\00000\00002_00010.ppm,0,lowlight,0.112698,0.200265,0.196367,gamma,0,0.256236,0.256236,0,0.75885,0.75885,0,0.403612,0.403612,19,0.432727,0.004915
data\gtsrb\GTSRB\Training\00000\00002_00010.ppm,0,foggy,0.635403,0.130835,0.231834,passthrough,0,0.596697,0.596697,1,0.532498,0.0309,0,0.683379,0.683379,0,0.890364,0.890364
data\gtsrb\GTSRB\Training\00000\00002_00010.ppm,0,lowcontrast,0.451961,0.071683,0.0,clahe,2,0.13432,0.079834,1,0.233361,0.018306,0,0.620774,0.620774,0,0.543968,0.543968
data\gtsrb\GTSRB\Training\00000\00002_00010.ppm,0,noisy,0.449779,0.265808,0.373702,passthrough,0,0.324075,0.324075,0,0.588796,0.588796,0,0.275499,0.275499,0,0.220582,0.220582
data\gtsrb\GTSRB\Training\00000\00002_00010.ppm,0,mixed,0.605116,0.166297,0.295848,passthrough,0,0.526303,0.526303,1,0.322454,0.032204,0,0.20221,0.20221,0,0.693401,0.693401
data\gtsrb\GTSRB\Training\00000\00001_00025.ppm,0,clean,0.464949,0.434718,0.298462,passthrough,0,0.914433,0.914433,0,0.96958,0.96958,0,0.87394,0.87394,0,0.856349,0.856349
data\gtsrb\GTSRB\Training\00000\00001_00025.ppm,0,lowlight,0.181947,0.446768,0.265,passthrough,0,0.423486,0.423486,0,0.806507,0.806507,0,0.529666,0.529666,0,0.249015,0.249015
data\gtsrb\GTSRB\Training\00000\00001_00025.ppm,0,foggy,0.642459,0.238757,0.290769,passthrough,0,0.952088,0.952088,0,0.443357,0.443357,0,0.84384,0.84384,0,0.963933,0.963933
data\gtsrb\GTSRB\Training\00000\00001_00025.ppm,0,lowcontrast,0.461276,0.130523,0.251923,passthrough,0,0.816968,0.816968,1,0.410102,0.144559,0,0.753967,0.753967,0,0.951252,0.951252
data\gtsrb\GTSRB\Training\00000\00001_00025.ppm,0,noisy,0.460365,0.448413,0.339231,passthrough,0,0.781784,0.781784,0,0.915647,0.915647,0,0.640064,0.640064,0,0.732444,0.732444
data\gtsrb\GTSRB\Training\00000\00001_00025.ppm,0,mixed,0.59013,0.154677,0.257308,passthrough,0,0.872089,0.872089,1,0.505754,0.091515,0,0.808964,0.808964,0,0.951852,0.951852
data\gtsrb\GTSRB\Training\00000\00004_00027.ppm,0,clean,0.652401,0.648336,0.112,passthrough,0,0.908196,0.908196,0,0.942119,0.942119,0,0.900798,0.900798,0,0.844322,0.844322
data\gtsrb\GTSRB\Training\00000\00004_00027.ppm,0,lowlight,0.477028,0.812287,0.113263,passthrough,0,0.51644,0.51644,0,0.821088,0.821088,0,0.553494,0.553494,0,0.225001,0.225001
data\gtsrb\GTSRB\Training\00000\00004_00027.ppm,0,foggy,0.745677,0.356367,0.108842,passthrough,0,0.89575,0.89575,1,0.346512,0.235163,0,0.870015,0.870015,0,0.92399,0.92399
data\gtsrb\GTSRB\Training\00000\00004_00027.ppm,0,lowcontrast,0.649995,0.193706,0.102421,passthrough,0,0.420819,0.420819,1,0.581998,0.031429,0,0.746521,0.746521,0,0.794986,0.794986
data\gtsrb\GTSRB\Training\00000\00004_00027.ppm,0,noisy,0.638077,0.628274,0.218842,passthrough,0,0.850904,0.850904,0,0.927131,0.927131,0,0.879866,0.879866,0,0.775968,0.775968
data\gtsrb\GTSRB\Training\00000\00004_00027.ppm,0,mixed,0.514374,0.768803,0.126316,passthrough,0,0.726283,0.726283,0,0.883235,0.883235,0,0.695526,0.695526,0,0.46044,0.46044
data\gtsrb\GTSRB\Training\00000\00004_00021.ppm,0,clean,0.693289,0.651425,0.135948,passthrough,0,0.894712,0.894712,0,0.899398,0.899398,0,0.899335,0.899335,0,0.861812,0.861812
data\gtsrb\GTSRB\Training\00000\00004_00021.ppm,0,lowlight,0.54343,0.831383,0.141176,passthrough,0,0.712028,0.712028,0,0.891029,0.891029,0,0.684678,0.684678,0,0.517231,0.517231
data\gtsrb\GTSRB\Training\00000\00004_00021.ppm,0,foggy,0.76815,0.358333,0.128395,passthrough,0,0.852848,0.852848,1,0.360379,0.301862,0,0.845263,0.845263,0,0.90382,0.90382
data\gtsrb\GTSRB\Training\00000\00004_00021.ppm,0,lowcontrast,0.692003,0.195834,0.123021,passthrough,0,0.479756,0.479756,1,0.675858,0.028633,0,0.781301,0.781301,0,0.750611,0.750611
data\gtsrb\GTSRB\Training\00000\00004_00021.ppm,0,noisy,0.676198,0.629232,0.200436,passthrough,0,0.820373,0.820373,0,0.825389,0.825389,0,0.800855,0.800855,0,0.807357,0.807357
data\gtsrb\GTSRB\Training\00000\00004_00021.ppm,0,mixed,0.73348,0.470303,0.152796,passthrough,0,0.910962,0.910962,0,0.748492,0.748492,0,0.8993,0.8993,0,0.902652,0.902652
data\gtsrb\GTSRB\Training\00000\00001_00008.ppm,0,clean,0.559153,0.4676,0.321396,passthrough,0,0.961776,0.961776,0,0.954012,0.954012,0,0.702839,0.702839,0,0.929212,0.929212
data\gtsrb\GTSRB\Training\00000\00001_00008.ppm,0,lowlight,0.281514,0.614937,0.290174,passthrough,0,0.436397,0.436397,0,0.889033,0.889033,0,0.717055,0.717055,0,0.28798,0.28798
data\gtsrb\GTSRB\Training\00000\00001_00008.ppm,0,foggy,0.694373,0.256996,0.292011,passthrough,0,0.887983,0.887983,1,0.526394,0.073306,0,0.490598,0.490598,0,0.955383,0.955383
