method,testset,top1_acc,macro_f1,n_samples,total_time_s,time_per_img_ms
baseline,clean,0.9391923990498813,0.9032314414086614,12630,15.182580709457397,1.202104569236532
baseline,lowlight,0.5411718131433095,0.5709725305946965,12630,15.199584007263184,1.2034508319289932
baseline,foggy,0.6726840855106888,0.6061854822277849,12630,32.8585467338562,2.6016268197827555
baseline,lowcontrast,0.6649247822644497,0.5959683882477589,12630,29.80233407020569,2.3596464030249953
baseline,noisy,0.6867775138558987,0.6763422588390506,12630,34.10234308242798,2.700106340651463
baseline,mixed,0.5870942201108472,0.5561157177038878,12630,33.93522357940674,2.6868743926687837
fixed_clahe,clean,0.7977830562153603,0.7667396142409462,12630,30.460806846618652,2.4117820147758238
fixed_clahe,lowlight,0.6061757719714964,0.5651660224977695,12630,30.235793828964233,2.3939662572418237
fixed_clahe,foggy,0.6884402216943785,0.6369201015559756,12630,29.245240688323975,2.3155376633669023
fixed_clahe,lowcontrast,0.7111638954869358,0.634807206939237,12630,20.039326667785645,1.5866450251611752
fixed_clahe,noisy,0.41781472684085513,0.4284581239019449,12630,17.9946072101593,1.4247511646998654
fixed_clahe,mixed,0.5134600158353128,0.4915740519356118,12630,18.750685691833496,1.4846148607944176
fixed_gamma,clean,0.879255740300871,0.8105273197043894,12630,14.981386423110962,1.1861746970000762
fixed_gamma,lowlight,0.8038796516231196,0.7913614177283554,12630,15.737831115722656,1.2460673884182627
fixed_gamma,foggy,0.40918448139350755,0.2728910695188769,12630,16.220070600509644,1.284249453722062
fixed_gamma,lowcontrast,0.4327790973871734,0.2522349894253455,12630,16.247275829315186,1.2864034702545672
fixed_gamma,noisy,0.6216943784639747,0.6099861233009094,12630,16.314910888671875,1.2917585818425872
fixed_gamma,mixed,0.4916864608076009,0.4458116535074202,12630,15.922889232635498,1.260719654207086
va_adaptive,clean,0.9166270783847981,0.8679223887870486,12630,18.299434423446655,1.4488863359815247
va_adaptive,lowlight,0.7524148851939826,0.7369135640646142,12630,20.163678646087646,1.5964907874970424
va_adaptive,foggy,0.7302454473475851,0.6707811757153662,12630,20.552558660507202,1.62728097074483
va_adaptive,lowcontrast,0.6509897070467142,0.5866729590254507,12630,20.866822957992554,1.6521633379249845
va_adaptive,noisy,0.6735550277117973,0.6678978939133668,12630,20.453784704208374,1.619460388298367
va_adaptive,mixed,0.6347585114806017,0.5999735125779975,12630,20.34980273246765,1.6112274530853248
